LossBefore	LossAfter	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.071832	11.714967	3.2422749996185303	0	23.952381	13.216066	64.0	8.0	23.952380952380953	13.216065946149426	1006	1006
16.955067	17.307102	5.68317985534668	1	46.130436	18.240673	101.0	20.0	46.130434782608695	18.240672060049445	1061	2067
18.88641	19.260696	7.795897006988525	2	57.27778	21.730177	103.0	15.0	57.27777777777778	21.730177571385617	1031	3098
20.44093	20.739214	9.284168004989624	3	67.26667	24.81523	128.0	41.0	67.26666666666667	24.81522829948489	1009	4107
21.256111	21.353369	10.779865026473999	4	73.5	28.477434	139.0	33.0	73.5	28.477434675797006	1029	5136
17.471281	17.527811	12.703471899032593	5	70.066666	16.319586	120.0	45.0	70.06666666666666	16.31958605139508	1051	6187
19.244791	19.266571	15.185236930847168	6	76.21429	19.124325	136.0	59.0	76.21428571428571	19.124324717970236	1067	7254
28.953207	28.726814	17.59916090965271	7	112.22222	40.584007	200.0	62.0	112.22222222222223	40.58400828399114	1010	8264
33.846737	34.0849	19.549299955368042	8	120.333336	57.92716	200.0	56.0	120.33333333333333	57.92715732327589	1083	9347
36.66622	38.97315	21.207151889801025	9	153.57143	31.281475	200.0	120.0	153.57142857142858	31.28147394616977	1075	10422
46.359333	48.065372	23.39601993560791	10	194.66667	11.925695	200.0	168.0	194.66666666666666	11.925695879998878	1168	11590
47.18844	48.143723	25.554893970489502	11	199.5	1.118034	200.0	197.0	199.5	1.118033988749895	1197	12787
48.66283	48.389496	27.675294876098633	12	200.0	0.0	200.0	200.0	200.0	0.0	1200	13987
48.424286	48.843132	29.325143814086914	13	200.0	0.0	200.0	200.0	200.0	0.0	1200	15187
47.862408	47.943142	32.064337968826294	14	200.0	0.0	200.0	200.0	200.0	0.0	1200	16387
48.465954	48.686882	34.55243802070618	15	198.66667	2.9814239	200.0	192.0	198.66666666666666	2.981423969999719	1192	17579
48.72847	49.370552	36.67519283294678	16	188.0	26.832815	200.0	128.0	188.0	26.832815729997478	1128	18707
48.644794	49.13703	38.558109998703	17	192.0	17.888544	200.0	152.0	192.0	17.88854381999832	1152	19859
48.900204	49.095222	40.240927934646606	18	162.85715	61.47573	200.0	36.0	162.85714285714286	61.475729406998084	1140	20999
44.714462	45.187485	42.189828872680664	19	145.625	56.982315	200.0	58.0	145.625	56.98231633585985	1165	22164
50.580143	51.754242	44.18786382675171	20	192.83333	16.025154	200.0	157.0	192.83333333333334	16.02515383874849	1157	23321
